id,amenities,bathrooms,bedrooms,has_photo,pets_allowed,price_type,square_feet,address,cityname,state,latitude,longitude,price
3017,,1.0,3.0,Yes,,Monthly,623.0,,West Chester,OH,39.3374,-84.4058,1001.0
3018,"AC,Cable or Satellite,Clubhouse,Dishwasher,Fireplace,Parking,Pool,Refrigerator,Washer Dryer",,2.0,,"Cats,Dogs",,920.0,,Irving,,32.8702,-96.9783,1219.0
3019,,3.0,3.0,Thumbnail,"Cats,Dogs",,1390.0,,,CA,34.0911,-118.343,3995.0
3020,"Cable or Satellite,Clubhouse,Gym,Playground,Pool",1.0,1.0,Yes,,Monthly,675.0,,Dallas,TX,32.8772,-96.7093,850.0
3021,"Parking,Patio/Deck,Storage",1.0,1.0,,,Monthly,806.0,,Jamestown,NC,35.9998,-79.9305,964.0
3022,"Dishwasher,Refrigerator",2.0,4.0,Thumbnail,"Cats,Dogs",Monthly,1600.0,432 Cape Jasmine Way,Lexington,SC,33.9531,-81.2381,1249.0
3023,"Fireplace,Parking,Playground,Pool,Storage,Tennis,Washer Dryer",2.0,2.0,Yes,"Cats,Dogs",Monthly,,,Windermere,,28.4991,-81.5295,1628.0
3024,"Dishwasher,Refrigerator,Washer Dryer",1.0,1.0,Thumbnail,"Cats,Dogs",Monthly,,,Garfield,NJ,40.8797,-74.1083,1810.0
3025,"Gym,Parking,Pool,Storage",2.0,2.0,,,Monthly,1083.0,,Charlottesville,VA,38.0003,-78.4636,1673.0
3026,"Cable or Satellite,Internet Access,Parking",1.0,1.0,No,,Monthly,690.0,,Dallas,,32.8772,-96.7093,700.0
3027,"AC,Dishwasher,Parking",,1.0,No,"Cats,Dogs",Monthly,500.0,,Los Angeles,CA,34.1177,-118.192,1699.0
3028,"Clubhouse,Gym,Playground,Pool,Washer Dryer",2.0,2.0,Yes,"Cats,Dogs",Monthly,,,Neptune City,,40.2091,-74.0584,1910.0
3029,"Fireplace,Patio/Deck,Playground,Pool,Storage,Washer Dryer,Wood Floors",1.0,1.0,Yes,,Monthly,508.0,,Dallas,TX,32.8772,-96.7093,675.0
3030,"Basketball,Clubhouse,Dishwasher,Patio/Deck,Pool,Refrigerator,Tennis,Washer Dryer",1.0,,Yes,,Monthly,,,Longview,TX,32.5548,-94.7807,725.0
3031,"Fireplace,Parking,Wood Floors",1.0,2.0,,,Monthly,1000.0,,New Orleans,LA,29.9275,-90.1015,1500.0
3032,"Clubhouse,Gym,Parking,Patio/Deck,Pool,Storage",2.0,,Thumbnail,,,1000.0,,Denver,,39.6821,-104.8846,1530.0
3033,"Cable or Satellite,Clubhouse,Elevator,Fireplace,Parking,Patio/Deck,Playground,Storage,Washer Dryer",1.0,1.0,Thumbnail,"Cats,Dogs",Monthly,714.0,,Richardson,TX,32.9496,-96.7085,1060.0
3034,"AC,Cable or Satellite,Dishwasher,Elevator,Gated,Gym,Internet Access,Parking,Patio/Deck,Refrigerator,Washer Dryer",1.0,1.0,Yes,,Monthly,762.0,,Hanover,,39.1649,-76.7156,2100.0
3035,"AC,Cable or Satellite,Dishwasher,Parking,Patio/Deck,Storage,Washer Dryer,Wood Floors",2.0,,Thumbnail,"Cats,Dogs",,1400.0,1820 Cherry St,Jacksonville,FL,30.3056,-81.7268,1750.0
3036,"Cable or Satellite,Dishwasher,Refrigerator",1.0,,Thumbnail,,Monthly,740.0,,Kent,WA,47.3851,-122.1882,1225.0
3037,"AC,Parking,Washer Dryer",2.0,2.0,Yes,,Monthly,1410.0,,Los Angeles,CA,34.0394,-118.2656,3600.0
3038,"AC,Clubhouse,Fireplace,Gym,Internet Access,Tennis,Washer Dryer",2.0,3.0,Thumbnail,"Cats,Dogs",Monthly,,,Spotsylvania,VA,38.2006,-77.6854,1620.0
3039,"Gym,Parking,Patio/Deck,Pool",2.0,2.0,Yes,,Monthly,1303.0,,,NJ,40.3663,-74.6688,3036.0
3040,"Parking,Storage",2.0,2.0,,"Cats,Dogs",,,,Issaquah,,47.5311,-122.0679,2996.0
3041,,1.0,,Thumbnail,"Cats,Dogs",Monthly,525.0,5423 North Loop 1604 West,,,29.4624,-98.5253,1200.0
3042,"Cable or Satellite,Dishwasher,Gym,Parking,Playground,Refrigerator,Washer Dryer",1.0,1.0,Yes,"Cats,Dogs",,504.0,,Las Vegas,,36.1198,-115.0497,645.0
3043,"Dishwasher,Refrigerator,Washer Dryer",1.0,2.0,No,"Cats,Dogs",Monthly,900.0,,Garfield,NJ,40.8797,-74.1083,2240.0
3044,"AC,Cable or Satellite,Clubhouse,Dishwasher,Gated,Gym,Pool,Tennis",2.0,2.0,Yes,"Cats,Dogs",Monthly,1027.0,,Bradenton,FL,27.4401,-82.5765,1100.0
3045,"Cable or Satellite,Elevator,Gated,Gym,Refrigerator",1.0,1.0,Thumbnail,"Cats,Dogs",,,,Los Angeles,CA,34.0628,-118.2754,1685.0
3046,Garbage Disposal,,3.0,Thumbnail,"Cats,Dogs",Monthly,1364.0,1617 Village Park Trail,Burleson,TX,32.5285,-97.3119,1449.0
3047,"Dishwasher,Parking,Refrigerator,Washer Dryer,Wood Floors",1.0,2.0,Thumbnail,,Monthly,800.0,,Edgewater,CO,39.7436,-105.063,1550.0
3048,,1.0,,Yes,,,826.0,,Oklahoma City,OK,35.4718,-97.518,995.0
3049,"Parking,Patio/Deck,Storage",,2.0,Thumbnail,,Monthly,,,Newport News,VA,37.0575,-76.4614,785.0
3050,"AC,Dishwasher,Parking,Patio/Deck,Playground,Washer Dryer",2.0,2.0,Thumbnail,"Cats,Dogs",,1109.0,,,NJ,40.722,-74.0644,3800.0
3051,"Clubhouse,Gym,Pool",2.0,3.0,No,,Monthly,1152.0,,Odenton,MD,39.0747,-76.7017,1795.0
3052,"Gym,Patio/Deck,Pool",1.0,,,,,,,Greensboro,NC,36.0175,-79.7704,759.0
3053,Parking,2.0,,,,Monthly,1294.0,,Dayton,OH,39.6136,-84.1617,1464.0
3054,"Dishwasher,Fireplace,Gym,Parking,Pool,Washer Dryer,Wood Floors",2.0,2.0,Yes,"Cats,Dogs",,,,,NJ,40.7434,-74.1521,2450.0
3055,"Gym,Playground,Pool",,2.0,Yes,,Monthly,1212.0,,Ocala,,29.1542,-82.1938,1360.0
3056,"Gym,Pool",3.0,3.0,Thumbnail,,Monthly,1390.0,,,,36.0663,-115.2552,1592.0
3057,,1.0,,Yes,"Cats,Dogs",,,,Denver,CO,39.6821,-104.8846,1260.0
3058,"Parking,Pool,Storage",1.0,,Yes,,Monthly,636.0,,,FL,28.5823,-81.5391,1144.0
3059,Washer Dryer,1.0,1.0,No,,,802.0,,,MA,42.4585,-71.0609,2177.0
3060,"Parking,Storage",1.0,1.0,Yes,,Monthly,726.0,,Issaquah,WA,47.5311,-122.0679,1890.0
3061,"AC,Cable or Satellite,Clubhouse,Dishwasher,Elevator,Gated,Gym,Internet Access,Parking,Pool,Refrigerator,Storage,Washer Dryer",1.0,1.0,,"Cats,Dogs",Monthly,716.0,,Odenton,MD,39.0747,-76.7017,1475.0
3062,"Dishwasher,Gym,Internet Access,Parking,Patio/Deck,Pool,Refrigerator",1.0,1.0,No,"Cats,Dogs",Monthly,757.0,,Los Angeles,CA,34.1176,-118.3327,2249.0
3063,Fireplace,2.0,2.0,Yes,"Cats,Dogs",Monthly,983.0,,Dallas,TX,32.8302,-96.7724,1837.0
3064,"AC,Clubhouse,Dishwasher,Fireplace,Gym,Patio/Deck,Playground,Pool,Refrigerator,Tennis,Washer Dryer",2.0,2.0,Yes,"Cats,Dogs",Monthly,1028.0,,Raleigh,NC,35.823,-78.6438,1054.0
3065,"Parking,Storage",1.0,1.0,Yes,,Monthly,,,Waltham,MA,42.3835,-71.2386,1400.0
3066,AC,,2.0,Thumbnail,,Monthly,800.0,5336 B Pine St,,,28.459,-82.1971,875.0
3067,"Patio/Deck,Wood Floors",1.0,2.0,Yes,,Monthly,1200.0,,Portsmouth,,36.8356,-76.3451,875.0
3068,"Elevator,Gym,Pool",1.0,,Yes,"Cats,Dogs",Monthly,847.0,,,FL,27.2467,-82.4882,1565.0
3069,"Gated,Pool",1.0,1.0,Yes,"Cats,Dogs",Monthly,1087.0,,,CA,33.7949,-118.1168,2417.0
3070,"AC,Cable or Satellite,Dishwasher,Playground,Pool,Washer Dryer",1.0,2.0,Thumbnail,"Cats,Dogs",Monthly,,819 Forrest Dr  15,Newport News,VA,37.0739,-76.5001,599.0
3071,,1.0,1.0,,Cats,Monthly,691.0,100 Ridgelake Parkway,Nashville,TN,36.137,-86.783,1045.0
3072,"Parking,Pool",1.0,1.0,Yes,,Monthly,,,Hyattsville,MD,38.954,-76.8968,1165.0
3073,"AC,Alarm,Cable or Satellite,Dishwasher,Internet Access,Patio/Deck,Washer Dryer",2.0,2.0,Yes,,Monthly,1220.0,,Willingboro,NJ,40.0275,-74.8831,1410.0
3074,"Clubhouse,Fireplace,Parking,Patio/Deck,Washer Dryer",1.0,1.0,Yes,,Monthly,789.0,,Yukon,OK,35.4975,-97.7329,874.0
3075,"Fireplace,Gym,Parking,Pool,Washer Dryer",,2.0,Yes,"Cats,Dogs",Monthly,866.0,,,TX,33.0023,-96.8406,1133.0
3076,Parking,2.0,2.0,,,Monthly,1046.0,,,TX,32.7767,-97.0816,1130.0
3077,Washer Dryer,1.0,1.0,Yes,"Cats,Dogs",Monthly,534.0,,Springfield,NJ,40.6999,-74.3233,1426.0
3078,"AC,Alarm,Gym,Hot Tub,Pool,Washer Dryer",1.0,1.0,Thumbnail,,Monthly,764.0,,South Plainfield,NJ,40.58,-74.4155,1720.0
3079,"Dishwasher,Refrigerator",2.0,3.0,Thumbnail,,Monthly,1105.0,,,NV,36.2528,-116.0181,800.0
3080,"Cable or Satellite,Dishwasher,Parking",1.0,1.0,Thumbnail,,Monthly,672.0,,Reynoldsburg,OH,39.9621,-82.7824,575.0
3081,AC,1.0,1.0,Yes,,Monthly,,,Denver,CO,39.6767,-104.8854,1299.0
3082,,1.0,,Thumbnail,"Cats,Dogs",Monthly,806.0,8215 S.W 72nd Avenue,Miami,FL,25.7028,-80.2974,2337.0
3083,,1.0,2.0,Yes,"Cats,Dogs",Monthly,862.0,,Renton,WA,47.4457,-122.1407,1735.0
3084,"Cable or Satellite,Clubhouse,Gym,Internet Access,Patio/Deck,Pool,Washer Dryer",2.0,2.0,Thumbnail,,Monthly,,,Kernersville,NC,36.1147,-80.0915,797.0
3085,"Fireplace,Gym,Hot Tub,Internet Access,Parking,Patio/Deck,Pool",2.0,2.0,,,Monthly,,,Irvine,CA,33.6881,-117.7878,2182.0
3086,,2.0,2.0,,,Monthly,433.0,,Dallas,TX,32.7057,-96.8747,845.0
3087,"Clubhouse,Parking,Pool",,,Thumbnail,,Monthly,1226.0,,Los Angeles,CA,33.955,-118.3967,4197.0
3088,"Parking,Storage",1.0,2.0,Yes,,Monthly,670.0,,Columbus,OH,39.9643,-83.0033,1405.0
3089,Refrigerator,1.0,2.0,Thumbnail,,Monthly,900.0,509 N 26th St 4,Louisville,,38.264,-85.8026,750.0
3090,,,1.0,Yes,"Cats,Dogs",,653.0,,Oklahoma City,,35.4815,-97.5355,1250.0
3091,"Parking,Pool",1.0,1.0,,,,805.0,,Sarasota,FL,27.3216,-82.4763,1385.0
3092,"Gym,Pool",2.0,2.0,Yes,"Cats,Dogs",Monthly,1136.0,,,WA,47.8616,-122.2729,1845.0
3093,"AC,Clubhouse,Gated,Gym,Internet Access,Washer Dryer,Wood Floors",1.0,2.0,Yes,"Cats,Dogs",Monthly,,,Manchester,NH,42.9833,-71.4574,1260.0
3094,"Pool,Storage",,,Yes,"Cats,Dogs",Monthly,827.0,,Kissimmee,FL,28.2966,-81.6162,1285.0
3095,"Cable or Satellite,Dishwasher,Elevator,Garbage Disposal,Parking,Patio/Deck,Refrigerator,Storage",,2.0,Thumbnail,"Cats,Dogs",Monthly,885.0,2304 Hillsborough St,Raleigh,NC,35.823,-78.6438,1700.0
3096,"Dishwasher,Parking,Storage",1.0,2.0,Thumbnail,"Cats,Dogs",Monthly,940.0,,Toledo,OH,41.6572,-83.5295,835.0
3097,"Gym,Parking",1.0,,Yes,,Monthly,713.0,,,NJ,40.2659,-74.6959,1420.0
3098,"AC,Pool",,1.0,Yes,,Monthly,,,,,39.5358,-119.8373,925.0
3099,Parking,,2.0,Yes,,Monthly,,,,MA,42.6398,-71.3184,1250.0
3100,"AC,Cable or Satellite,Clubhouse,Gym,Patio/Deck,Playground,Storage,Washer Dryer",,4.0,Thumbnail,"Cats,Dogs",Monthly,1579.0,,Clearwater,FL,27.938,-82.7462,1695.0
3101,"Clubhouse,Gym,Pool",,2.0,Thumbnail,,Monthly,,,Hackensack,,40.8876,-74.0499,2585.0
3102,"Parking,Storage",2.0,,,,Monthly,1446.0,,Clermont,FL,28.5401,-81.7602,1860.0
3103,Parking,1.0,1.0,No,,Monthly,770.0,,,MD,39.1627,-76.6354,1060.0
3104,Pool,1.0,1.0,Thumbnail,"Cats,Dogs",Monthly,650.0,,Denver,CO,39.698,-105.1559,1413.0
3105,"Fireplace,Playground,Pool",1.0,1.0,,"Cats,Dogs",Monthly,,,Renton,WA,47.4608,-122.2095,1230.0
3106,"AC,Dishwasher,Hot Tub,Parking,Patio/Deck,Pool",2.0,2.0,Thumbnail,,Monthly,954.0,,,CA,32.9147,-117.1465,2180.0
3107,Washer Dryer,1.0,3.0,Yes,,,,,,MA,42.328,-71.071,2300.0
3108,Patio/Deck,2.0,,,,Monthly,945.0,,Dallas,TX,32.8004,-96.7887,1605.0
3109,"Gym,Parking,Pool",,2.0,Yes,"Cats,Dogs",,960.0,,Rocky Hill,CT,41.6623,-72.6686,1237.0
3110,"Dishwasher,Garbage Disposal,Parking,Patio/Deck,Pool,Refrigerator,Storage,Washer Dryer",,,No,,,875.0,,Buckeye,AZ,33.3862,-112.5707,895.0
3111,"Parking,Pool",1.0,1.0,No,,Monthly,,,Cleveland,OH,41.5088,-81.674,1175.0
3112,Fireplace,1.0,2.0,Yes,,,884.0,,Bellevue,WA,47.6146,-122.1684,2075.0
3113,"AC,Clubhouse,Gym,Parking,Pool",2.0,3.0,Thumbnail,,Monthly,1015.0,,Westbury,NY,40.7567,-73.5776,3380.0
3114,"Parking,Storage",2.0,2.0,Yes,,Monthly,1193.0,,Yorktown,VA,37.1223,-76.4484,1534.0
3115,"Gym,Parking,Patio/Deck,Pool,View",1.0,,Yes,"Cats,Dogs",Monthly,,,South Orange,NJ,40.748,-74.2595,2459.0
3116,"Gated,Gym,Parking,Pool,Wood Floors",1.0,,Thumbnail,,Monthly,850.0,,Los Angeles,CA,34.07,-118.3501,2600.0
3117,"Clubhouse,Gym,Parking,Patio/Deck,Storage,Tennis,Washer Dryer",1.0,1.0,Yes,,Monthly,670.0,,Durham,NC,35.9907,-78.9074,870.0
3118,,1.0,2.0,Thumbnail,,Monthly,443.0,,Bellevue,WA,47.6156,-122.2109,1745.0
3119,,1.0,2.0,,,Monthly,946.0,,Issaquah,WA,47.5311,-122.0679,1695.0
3120,Parking,1.0,1.0,No,,,606.0,,Dallas,TX,32.829,-96.8458,1204.0
3121,"Fireplace,Parking,Pool,Storage,Tennis",2.0,2.0,Thumbnail,,Monthly,980.0,,,,33.7848,-84.3922,1285.0
3122,"Internet Access,Pool,Tennis",2.0,3.0,Yes,,Monthly,1347.0,,,NC,35.6696,-78.6648,1599.0
3123,Parking,1.0,2.0,Yes,,Monthly,664.0,,,NJ,40.8876,-74.0499,1767.0
3124,"Gym,Parking,Pool",2.0,3.0,No,,Monthly,1357.0,,Perrysburg,,41.5442,-83.5976,1425.0
3125,Tennis,1.0,,Yes,,Monthly,,,Palm Harbor,FL,28.1041,-82.6789,1201.0
3126,"Dishwasher,Pool,Refrigerator",,,,,,742.0,,El Segundo,CA,33.9222,-118.4055,2295.0
3127,"Gym,Parking,Pool",,2.0,No,,,1167.0,,Jersey City,NJ,40.722,-74.0644,4561.0
3128,Parking,1.0,,Yes,"Cats,Dogs",Monthly,,,,TX,32.7826,-96.777,1154.0
3129,"AC,Gated,Parking,Wood Floors",1.0,2.0,Yes,,Monthly,850.0,,Arcadia,CA,34.1378,-118.0247,1795.0
3130,"Basketball,Cable or Satellite,Dishwasher,Internet Access,Parking,TV,Washer Dryer,Wood Floors",1.0,1.0,Thumbnail,"Cats,Dogs",Monthly,,,Petersburg,VA,37.2139,-77.4557,915.0
3131,"Gym,Patio/Deck,Pool",,2.0,Thumbnail,,Monthly,949.0,,,NC,35.2913,-80.7808,1005.0
3132,,,1.0,Yes,,,,,Randolph,MA,42.1733,-71.0495,1407.0
3133,"Cable or Satellite,TV",,2.0,Yes,,,1026.0,,Jersey City,NJ,40.722,-74.0644,2223.0
3134,,1.0,,Thumbnail,"Cats,Dogs",Monthly,440.0,1465 Alvarado Dr,Colorado Springs,CO,38.8562,-104.772,635.0
3135,,2.0,2.0,Yes,,,1411.0,,Downey,CA,33.9566,-118.117,2095.0
3136,,,2.0,Yes,,Monthly,882.0,,Aurora,,39.6982,-104.8313,1350.0
3137,"AC,Dishwasher,Fireplace,Gated,Gym,Parking,Patio/Deck,Pool,Refrigerator,Washer Dryer",1.0,2.0,Yes,"Cats,Dogs",Monthly,750.0,,Dallas,TX,32.9954,-96.7849,1032.0
3138,"AC,Alarm,Cable or Satellite,Clubhouse,Dishwasher,Fireplace,Garbage Disposal,Internet Access,Parking,Patio/Deck,Playground,Refrigerator,Washer Dryer",,1.0,Thumbnail,"Cats,Dogs",Monthly,,,Caroleen,NC,35.354,-81.8742,990.0
3139,"Refrigerator,Washer Dryer",,,No,,,718.0,,Dallas,TX,32.7447,-96.803,1125.0
3140,"Clubhouse,Dishwasher,Gym,Internet Access,Playground,Tennis,Washer Dryer",2.0,3.0,Thumbnail,,Monthly,1400.0,,Winter Haven,,27.9992,-81.7502,1125.0
3141,Parking,2.0,,Thumbnail,,Monthly,1295.0,,Charlotte,NC,35.2274,-80.8452,2530.0
3142,,1.0,1.0,Thumbnail,"Cats,Dogs",,717.0,2991 Clay St,Paducah,KY,37.034,-88.6479,605.0
3143,,1.0,,,"Cats,Dogs",Monthly,875.0,16119 SE 1st St,Vancouver,WA,45.6558,-122.5888,1175.0
3144,Pool,1.0,2.0,Thumbnail,,Monthly,,,,,26.0512,-80.147,3000.0
3145,,1.0,,Thumbnail,,,1100.0,,Smyrna,GA,33.8737,-84.5097,875.0
3146,"AC,Cable or Satellite,Clubhouse,Dishwasher,Gym,Parking,Patio/Deck,Playground,Pool,Refrigerator,Storage,Washer Dryer",,2.0,,"Cats,Dogs",Monthly,987.0,,Fayetteville,NC,35.1287,-78.8987,882.0
3147,,1.0,1.0,Yes,,Monthly,,,Bothell,WA,47.8441,-122.1991,1681.0
3148,"AC,Basketball,Clubhouse,Dishwasher,Gym,Patio/Deck,Pool,Washer Dryer",,2.0,Yes,"Cats,Dogs",,925.0,,Cleburne,,32.3475,-97.3863,1007.0
3149,"AC,Dishwasher,Gated,Patio/Deck,Pool,Wood Floors",,,,,Monthly,1200.0,,Los Angeles,CA,34.0911,-118.343,2650.0
3150,"Hot Tub,Parking,Patio/Deck,Pool",2.0,2.0,Yes,,Monthly,1103.0,,Pasadena,CA,34.1474,-118.1391,2878.0
3151,Parking,1.0,2.0,,,Monthly,788.0,,Vandalia,OH,39.8874,-84.2035,685.0
3152,"AC,Clubhouse,Dishwasher,Fireplace,Gym,Parking,Patio/Deck,Playground,Storage,Washer Dryer",2.0,,Yes,"Cats,Dogs",Monthly,,,,,39.2858,-84.522,1042.0
3153,AC,2.0,2.0,Thumbnail,,Monthly,944.0,,Crofton,,39.0073,-76.6827,1600.0
3154,"Parking,Patio/Deck,Wood Floors",1.0,2.0,,,,,,,,42.328,-71.071,2800.0
3155,"AC,Clubhouse,Dishwasher,Fireplace,Gated,Gym,Parking,Patio/Deck,Playground,Refrigerator,Storage,Washer Dryer",2.0,,Thumbnail,"Cats,Dogs",Monthly,1003.0,,Grand Prairie,TX,32.6791,-97.0109,1248.0
3156,"Gym,Parking,Pool,Wood Floors",1.0,1.0,Yes,"Cats,Dogs",,680.0,,Denver,CO,39.6847,-104.9263,1022.0
3157,"AC,Dishwasher,Garbage Disposal,Parking,Pool,Refrigerator,Washer Dryer",1.0,,Thumbnail,,,650.0,,Henderson,,31.9393,-94.961,549.0
3158,"Basketball,Gym,Parking,Playground,Tennis",2.0,2.0,Yes,"Cats,Dogs",Monthly,1234.0,,Tampa,,28.0569,-82.6059,1551.0
3159,"Playground,Tennis",2.0,3.0,Yes,"Cats,Dogs",,1076.0,,Rockville,MD,39.0873,-77.1745,1895.0
3160,"Clubhouse,Gated,Hot Tub,Parking,Pool,Storage",2.0,3.0,,,Monthly,1444.0,,Sacramento,CA,38.6124,-121.4452,2282.0
3161,"AC,Cable or Satellite,Dishwasher,Gym,Internet Access,Parking,Patio/Deck,Pool,Refrigerator",2.0,2.0,Thumbnail,,Monthly,2162.0,,Bonita Springs,FL,26.3864,-81.7355,3100.0
3162,"Elevator,Fireplace,Parking,Washer Dryer",2.0,,Thumbnail,,,1236.0,,Ellicott City,MD,39.2735,-76.8674,1639.0
3163,"AC,Cable or Satellite,Internet Access,Parking,Storage,Washer Dryer",,1.0,Yes,,Monthly,576.0,,Oakdale,PA,40.3911,-80.1989,850.0
3164,"Dishwasher,Parking,Pool",1.0,,Thumbnail,,Monthly,525.0,4811 Woodrow Ave,Austin,TX,30.3054,-97.7497,1500.0
3165,Wood Floors,1.0,1.0,No,"Cats,Dogs",Monthly,600.0,,Cincinnati,,39.1263,-84.5172,635.0
3166,"Parking,Storage",1.0,2.0,,"Cats,Dogs",Monthly,574.0,,Denver,CO,39.6847,-104.9263,1325.0
3167,,2.0,3.0,Yes,"Cats,Dogs",Monthly,1200.0,,Dallas,,32.8162,-96.8887,1255.0
3168,Washer Dryer,,3.0,No,,Monthly,941.0,,Fall River,MA,41.6977,-71.1501,1000.0
3169,Storage,1.0,1.0,No,"Cats,Dogs",Monthly,,,Aurora,CO,39.6243,-104.7904,1339.0
3170,"AC,Dishwasher,Gym,Parking,Pool,Refrigerator,Storage,Washer Dryer",1.0,2.0,Yes,,Monthly,685.0,,Jersey City,,40.722,-74.0644,2684.0
3171,"Clubhouse,Fireplace,Gym,Internet Access,Parking,Patio/Deck,Pool,Storage,Washer Dryer",1.0,,Thumbnail,Cats,Monthly,667.0,,,,41.2395,-96.0005,1125.0
3172,,1.0,1.0,Thumbnail,"Cats,Dogs",Monthly,550.0,1400-1446 8th St NW,Minot,ND,48.2469,-101.3017,525.0
3173,"Dishwasher,Parking,Pool,Refrigerator",1.0,,,Cats,,850.0,22277 W 12 Mile Road,Southfield,MI,42.4751,-83.2572,879.0
3174,"AC,Cable or Satellite,Clubhouse,Gym,Parking,Patio/Deck,Playground,Pool,Storage,Washer Dryer",2.0,3.0,Yes,"Cats,Dogs",Monthly,1431.0,,,NC,35.6101,-78.4715,1450.0
3175,"Gym,Hot Tub,Pool",1.0,1.0,Yes,"Cats,Dogs",Monthly,707.0,,San Pedro,CA,33.7435,-118.2794,2030.0
3176,"Fireplace,Gym,Parking,Patio/Deck,Pool,TV,Washer Dryer,Wood Floors",2.0,2.0,,"Cats,Dogs",,,,Raleigh,NC,35.774,-78.6328,2122.0
3177,"Parking,Pool",2.0,2.0,Yes,"Cats,Dogs",Monthly,998.0,,Ocoee,,28.5823,-81.5391,1588.0
3178,"AC,Wood Floors",1.0,1.0,Yes,,,583.0,,Toledo,,41.6545,-83.6757,619.0
3179,"Dishwasher,Elevator,Internet Access,Parking,Pool,Refrigerator",,,Thumbnail,"Cats,Dogs",Monthly,692.0,211 E Riverside Drive,,,30.3054,-97.7497,1772.0
3180,"Cable or Satellite,Internet Access,Washer Dryer,Wood Floors",1.0,,,,Monthly,500.0,,Suffolk,,36.7331,-76.5998,999.0
3181,"Gym,Parking",1.0,2.0,,"Cats,Dogs",Monthly,867.0,,Laurel,MD,39.0614,-76.8511,1945.0
3182,Storage,1.0,1.0,Yes,,Monthly,,,Cockeysville,,39.4915,-76.6609,995.0
3183,Pool,1.0,,Thumbnail,,Monthly,250.0,,Austin,TX,30.3054,-97.7497,700.0
3184,Parking,1.0,1.0,,,Monthly,650.0,,,WA,47.3866,-122.2109,1421.0
3185,Pool,1.0,1.0,Yes,"Cats,Dogs",Monthly,,,Dallas,TX,32.9012,-96.7916,815.0
3186,"Parking,Wood Floors",1.0,1.0,No,,Monthly,516.0,,East Orange,NJ,40.7647,-74.2119,1450.0
3187,,1.0,1.0,,"Cats,Dogs",Monthly,787.0,,Culver City,CA,34.0172,-118.3928,3980.0
3188,Parking,,2.0,Yes,,Monthly,950.0,,Stanton,CA,33.8005,-117.997,1846.0
3189,Fireplace,1.0,1.0,Yes,"Cats,Dogs",Monthly,600.0,,Charlestown,MA,42.3362,-71.1037,2350.0
3190,"Gym,Parking,Pool",1.0,1.0,Yes,,Monthly,525.0,,,TX,32.9954,-96.7849,741.0
